row_id,year,title,journal,pmid,doi,reviewer_decision,reason
K171,2026,Enhanced Spinal Cord Lesion Detection in MS Using White-Matter-Nulled 3D MPRAGE with Deep Learning Reconstruction,AJNR Am J Neuroradiol,,10.3174/ajnr.a8950,exclude,wrong_population
K172,2019,Data-driven synthetic MRI FLAIR artifact correction via deep neural network.,,30884007.0,,include,
K173,2010,Comprehensive quantitative image quality evaluation of compressed sensing MRI reconstructions using a weighted perceptual difference model,,,10.1117/12.845507,include,
K174,2017,Single-step quantitative susceptibility mapping with variational penalties.,NMR in biomedicine,27332141.0,10.1002/nbm.3570,include,
K175,2015,Functional magnetic resonance imaging.,British journal of hospital medicine,26646346.0,10.12968/hmed.2015.76.12.C189,exclude,review_editorial_protocol_commentary
K176,2021,CS-VIBE accelerates cranial nerve MR imaging for the diagnosis,,,10.1007/s00330-021-08102-6,include,
K177,2019,How to map the brain.,Nature,31341309.0,10.1038/d41586-019-02208-0,exclude,review_editorial_protocol_commentary
K178,2026,Simulation Data-Based Dual Domain Network (Sim-DDNet) for Motion Artifact Reduction in MR Images,MAGNETOCHEMISTRY,,10.3390/magnetochemistry12010014,unsure,
K179,2025,Estimating Uncertainty on Deep Learning-Driven Fibre Orientation Distribution Enhancement,,,10.1007/978-981-96-6957-8/25,include,
K180,2023,Interrater Reliability of Cervical Neural Foraminal Stenosis Using Traditional and Splayed Reconstructions,World Neurosurgery,,10.1016/j.wneu.2023.03.079,exclude,wrong_population
K181,2024,Distortion-free water-fat separated diffusion-weighted imaging using spatiotemporal joint reconstruction.,Magnetic resonance in medicine,39051729.0,10.1002/mrm.30221,include,
K182,2023,SADIR: Shape-Aware Diffusion Models for 3D Image Reconstruction,Shape in Medical Imaging,,10.1007/978-3-031-46914-5_23,include,
K183,2020,Deep Learning PET Epilepsy Detection with a Novel Symmetric Loss Convolutional Autoencoder,2020 IEEE Nuclear Science Symposium and Medical Imaging Conference (NSS/MIC),,10.1109/nss/mic42677.2020.9507980,exclude,wrong_population
K184,2020,The developing Human Connectome Project (dHCP) automated resting-state functional processing framework for newborn infants.,NeuroImage,32866666.0,10.1016/j.neuroimage.2020.117303,exclude,wrong_intervention_or_index
K185,2020,Synthetic MRI of Preterm Infants at Term-Equivalent Age: Evaluation of Diagnostic Image Quality and Automated Brain Volume Segmentation.,AJNR. American journal of neuroradiology,32299803.0,10.3174/ajnr.a6533,include,
K186,2024,Deep learning-accelerated image reconstruction in back pain-MRI imaging: reduction of acquisition time and improvement of image quality.,La Radiologia medica,38349416.0,10.1007/s11547-024-01787-x,exclude,wrong_population
K187,2022,Deep attentive spatio-temporal feature learning for automatic resting-state fMRI denoising.,NeuroImage,35337965.0,10.1016/j.neuroimage.2022.119127,exclude,wrong_intervention_or_index
K188,2019,Evaluation of 3D fat-navigator based retrospective motion correction in the clinical setting of patients with brain tumors.,Neuroradiology,30671618.0,10.1007/s00234-019-02160-w,include,
K189,2026,DEEP-DISORDER: Motion Correction in 3D MRI via Segment Reconstruction and Registration.,NMR in biomedicine,41958180.0,10.1002/nbm.70286,include,
K190,2026,A Two-Stage Deep Learning Pipeline for Medical Image Restoration Using DRUNet and Real-ESRGAN,,,10.1109/imcet69180.2026.11503758,include,
K191,2026,"Simulation-based inference at the theoretical limit for fast, robust microstructural MRI with minimal diffusion data",Communications Medicine,,10.1038/s43856-026-01614-6,unsure,
K192,2025,Diffusion Models for Neuroimaging Data Augmentation: Assessing Realism and Clinical Relevance,Journal of Medical Systems,,10.1007/s10916-025-02300-1,exclude,wrong_intervention_or_index
K193,2025,Portable head CT motion artifact correction via diffusion-based generative model.,Computerized medical imaging and graphics,39705889.0,10.1016/j.compmedimag.2024.102478,exclude,wrong_population
K194,2020,Technical Note - Optimization of quantitative susceptibility mapping by streaking artifact detection,,,10.1002/mp.14460,include,
K195,2005,Quality evaluation of fast morphing interpolation model for 3D volume reconstruction,"Proceedings of the Fifth IEEE International Symposium on Signal Processing and Information Technology, 2005.",,10.1109/ISSPIT.2005.1577201,unsure,
K196,2025,Enhancing the reliability of Alzheimers disease prediction in MRI images,Computers in Biology and Medicine,,10.1016/j.compbiomed.2025.111111,exclude,wrong_intervention_or_index
K197,2025,Schizophrenia detection from electroencephalogram signals using image encoding and wrapper-based deep feature selection approach.,Scientific reports,40594257.0,10.1038/s41598-025-06121-7,exclude,wrong_population
K198,2022,Multifrequency Magnetic Induction Tomography for Hemorrhagic Stroke Detect,,,10.1109/tim.2022.3180406,exclude,wrong_population
K199,2020,Reduction of beam hardening artifacts on real C-arm CT data,,,10.1016/j.zemedi.2019.10.002,exclude,wrong_population
K200,2025,Image SNR Enhancement for a Short Axial FOV Brain PET System Using Generative Deep Learning,IEEE Transactions on Radiation and Plasma Medical Sciences,,10.1109/trpms.2025.3560667,exclude,wrong_population
K201,2021,MC2-Net - motion correction network for multi-contrast brain MRI,,,10.1002/mrm.28719,include,
K202,2024,EEG Signal Denoising Using Beta-Variational Autoencoder,,,10.1109/embc53108.2024.10782962,exclude,wrong_population
K203,2025,High-Fidelity MRI Assessment of Cerebral Perfusion in Healthy Neonates Less Than 1 Week of Age.,Journal of magnetic resonance imaging : JMRI,39945520.0,10.1002/jmri.29740,exclude,wrong_intervention_or_index
K204,2024,Iterative Motion Correction Technique with Deep Learning Reconstruction for Brain MRI: A Volunteer and Patient Study.,Journal of imaging informatics in medicine,38942939.0,10.1007/s10278-024-01184-w,include,
K205,2025,Digital twin brain simulator for real-time consciousness monitoring and virtual intervention using primate electrocorticogram data,npj Digital Medicine,,10.1038/s41746-025-01444-1,exclude,wrong_population
K206,2019,Assessment of quiet T2 weighted PROPELLER sequence in pediatric abdominal imaging,,,10.1016/j.clinimag.2018.09.014,exclude,wrong_population
K207,2025,Probabilistic brain MR image transformation using generative models,Scientific Reports,,10.1038/s41598-025-31958-3,exclude,wrong_intervention_or_index
K208,2021,Deep learning-based parameter estimation in fetal diffusion-weighted MRI.,NeuroImage,34455242.0,10.1016/j.neuroimage.2021.118482,unsure,
K209,2017,Auditory steady state responses and cochlear implants: Modeling the artifact-response mixture in the perspective of denoising.,PloS one,28350887.0,10.1371/journal.pone.0174462,exclude,wrong_population
K210,2025,Deep Self-Attention Enhanced Multi-Attribute Constrained Matrix Factorization,,,10.1109/bibm66473.2025.11356842,exclude,wrong_intervention_or_index
K211,2024,Identifying Patients with CSF-Venous Fistula Using Brain MRI: A Deep Learning Approach.,AJNR. American journal of neuroradiology,38423747.0,10.3174/ajnr.a8173,exclude,wrong_intervention_or_index
K212,2024,Automatic Reconstruction of Deep Brain Stimulation Lead Trajectories From CT Images Using Tracking and Morphological Ana,,,,exclude,wrong_population
K213,2023,Cycle-consistent GAN for Super-resolution of Brain MRI images,,,10.1109/embc40787.2023.10340042,include,
K214,2019,Compressed sensing MRI of different organs ready for clinical daily practice,,,10.1007/s00330-019-06319-0,include,
